Species,Band,Sex,Plumage,Estado reproductivo,Beak_length,Beak_depth,Beak_width,Tarsus,Wing Chord,Mass,Pox_IUR,Pox_scale,Pox_size_lesion
PET,SM362,U,0,0,10.15,NA,NA,20.08,62,13.32,U,NA,NA
PET,SM237,M,0,CP4,9.01,NA,NA,18.89,65,11.5,U,NA,NA
PET,SMA1468,M,0,0,6.61,NA,NA,18.05,64,12.57,I,D,3.32
MYI,SMA1267,U,0,0,12.1,4.863,6.59,24.01,69,14.62,U,NA,NA
MYI,SMA1327,U,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
MYI,SMA1328,U,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
MYI,SMA1330,U,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
MYI,SMA1267,M,0,CP2,13.15,NA,NA,21.66,70,14.28,U,NA,NA
MYI,SM1909,M,5,CP5,12.4,11.83,8.33,26.23,82,30,U,NA,NA
MYI,SMA1267,U,0,0,11.72,NA,NA,19.54,69,14.39,U,NA,NA
MYI,BRIT.MUSEUMLONDONS.W.7E117358,F,0,BP,13.27,NA,NA,21.08,69,13.8,U,NA,NA
MYI,BRIT.MUSEUMLONDONS.W.7E117358,U,0,0,11.73,NA,NA,18.68,69,13.56,U,NA,NA
MYI,SMA1327,U,0,0,11.1,NA,NA,19.9,70,15,U,NA,NA
MYI,BRIT.MUSEUMLONDONS.W.7E117358,U,0,0,11.2,NA,NA,20.7,68,24.97,U,NA,NA
MYI,BRIT.MUSEUMLONDONS.W.7E117358,F,0,BP,11,NA,NA,20,68,26.02,U,NA,NA
MYI,SMA1390,U,0,0,16.49,NA,NA,19.67,65,12.86,I,B,5.33
MYI,SM808,M,0,CP1,10.1,NA,NA,19.77,69,11.96,U,NA,NA
MYI,SMA1406,U,0,0,8.92,NA,NA,18.39,62,12.17,I,A,2.89
MYI,SM155,U,0,0,13.3,NA,NA,20.6,73,14.54,U,NA,NA
MYI,SMA1266,U,0,0,10.49,NA,NA,18.7,70,14.42,I,A,3.86
MYI,LF6163,U,0,0,8.1,NA,NA,19.1,62,11.53,U,NA,NA
MYI,SMA1267,U,0,0,13.08,NA,NA,20.55,70,12.79,U,NA,NA
MYI,RHA068,U,0,0,13.1,NA,NA,20.13,71,12.36,U,NA,NA
MYI,SMA1267,U,0,0,11.85,NA,NA,18.52,69,13.24,U,NA,NA
MYI,SMA1328,U,0,0,12,,,19.1,66,14.05,U,NA,NA
MYI,RHA015,M,NA,CP2,11.78,NA,NA,21.83,71,14.78,U,NA,NA
MYI,SMA2228,U,0,0,10.3,-,-,18.56,66,14.08,U,NA,NA
MAG,SM1732,M,5,0,14.98,18.2,14.81,21.7,80,33.64,U,NA,NA
MAG,SM1788,U,0,0,15.05,17.29,13.53,20.83,72,33.79,U,NA,NA
MAG,SM1911,M,5,CP4,17.25,19.35,10.74,23.75,80,32.44,U,NA,NA
MAG,SM1941,M,5,CP5,17.13,17.18,10.85,23.25,78,28.51,R,NA,NA
MAG,SM1956,M,5,0,17.6,17.6,12.2,25.6,80,32.69,U,NA,NA
MAG,SM1980,M,5,0,15.5,16.1,9.4,21.3,71,30.33,R,NA,NA
MAG,SM1986,F,0,BP,14.8,15.8,9.9,22.4,70,31.03,R,NA,NA
MAG,SM2008,M,5,0,16.04,17.41,8.91,21.15,80,32.05,U,NA,NA
MAG,SM2009,M,5,0,15.3,18.23,8.01,21.71,79,33.42,R,NA,NA
MAG,SM2010,M,5,0,16.66,17.84,9.57,22,77,34.42,I,D,5.2
MAG,SM2026,M,5,CP2,17.11,15.65,10.39,24.95,78,28.83,U,NA,NA
MAG,SM1941,U,0,0,NA,NA,NA,NA,NA,NA,R,NA,NA
MAG,SM2052,U,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAG,SM1956,M,5,0,18.44,16.25,11.27,26.04,80,34.34,U,NA,NA
MAG,SM2121,M,3,CP1,16.21,16.97,10.74,23.98,76,27.87,U,NA,NA
MAG,SM2179,M,5,CP1,17.12,17.15,9.72,23.71,77,27.76,U,NA,NA
MAG,SM2325,U,0,0,17.76,19.3,11.36,22.95,80,35.17,U,NA,NA
MAG,SM2341,M,5,CP1,16.51,17.43,10.05,22.37,79,30.28,U,NA,NA
MAG,SM2362,U,0,0,15.7,17.2,11,20,75,25.94,U,NA,NA
MAG,SM2418,M,5,0,16.34,16.15,10.85,21.13,77,27.23,U,NA,NA
MAG,SM2445,U,0,0,16.68,15.85,10.02,21.71,79,31.53,U,NA,NA
MAG,SM2482,M,4,CP3,16.2,16,10,21.8,79,30.32,U,NA,NA
MAG,SM2486,M,3,0,17.46,19.95,11.71,22.64,81,31.83,U,NA,NA
MAG,SM2584,M,5,CP5,16.52,18.65,10.54,23.15,80,31.67,U,NA,NA
MAG,SM2737,M,5,0,14.45,16.22,13.72,23.12,77,30.58,R,NA,NA
MAG,SM2740,M,1,0,14.36,16.22,13.25,22.98,77,31.19,I,A,2.92
MELA,SMC040,U,0,0,18.38,NA,NA,27.15,120,27.83,U,NA,NA
