"total.host","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
561,247,113,68,1095,322,157,165,254,230,255,230,1916,268,35,54,781,141,637,141
285,151,153,80,781,237,46,191,153,140,160,140,698,101,14,56,290,50,241,54
250,195,116,80,547,263,119,144,196,186,200,186,919,133,33,40,335,104,276,104
242,176,119,85,444,245,105,140,178,169,181,169,853,109,33,33,280,111,254,111
238,137,131,83,520,211,54,157,139,129,142,129,1056,155,37,42,386,119,323,119
113,118,153,84,802,198,16,182,127,106,127,106,692,147,6,71,346,33,346,33
157,38,167,73,1317,141,-87,228,48,20,49,16,761,156,7,87,456,26,389,34
410,199,136,80,779,281,111,170,200,189,207,187,2135,318,74,49,892,239,609,249
256,173,155,79,820,267,71,196,172,163,183,162,1280,195,24,59,566,100,396,101
116,20,138,77,1261,95,-83,178,36,3,36,3,834,169,5,83,468,21,468,21
502,260,129,86,458,331,182,149,259,253,264,253,1647,213,83,26,537,275,425,302
339,232,129,85,512,303,152,151,231,224,238,224,1725,196,90,24,536,284,478,284
231,223,130,86,541,294,143,151,222,215,230,215,1678,193,87,24,526,271,468,271
133,241,112,70,1681,322,164,158,261,220,262,220,154,83,0,172,125,2,118,2
236,179,122,89,301,248,111,137,179,175,181,175,1004,141,41,38,379,141,239,141
111,92,136,86,542,165,8,157,99,85,99,85,1061,189,32,48,425,116,425,116
112,184,94,64,1760,262,117,145,209,173,209,165,41,11,0,87,27,2,27,3
136,118,153,84,802,198,16,182,127,106,127,106,692,147,6,71,346,33,346,33
