"nestbox","treatment","brood","n_fledged"
"2_124","Control",6,2
"2_22","Control",5,5
"2_109","Predation",5,2
"2_8","Control",5,3
"2_12","Control",6,6
"2_14","Predation",3,2
"2_34","Control",4,4
"2_38","Control",5,5
"2_80","Predation",5,1
"2_86","Predation",5,4
"2_95","Control",5,2
"4_80","Control",5,5
"1_81","Control",5,4
"1_91","Predation",5,4
"2_2","Control",5,4
"2_21","Predation",6,0
"2_114","Predation",6,1
"4_62","Predation",6,2
"1_121","Predation",6,2
"2_27","Predation",1,1
"2_30","Predation",2,2
"2_102","Control",5,4
"2_121","Predation",6,3
"1_85","Control",4,2
"2_117","Predation",6,5
"4_93","Control",5,4
"1_12","Control",6,1
"4_71","Control",5,5
"2_54","Control",2,1
"2_82","Control",5,5
"1_17","Predation",5,0
"1_62","Predation",1,0
"1_104","Predation",0,0
"1_123","Predation",5,0
"2_9","Predation",5,0
"2_32","Predation",2,0
"2_45","Predation",5,0
"2_49","Control",0,0
"2_51","Predation",3,0
"2_77","Control",6,0
"2_96","Control",0,0
"2_105","Predation",7,0
